path,cluster,keyword,avg_monthly,competition,comp_index,bid_low,bid_high,yoy
1-damage-care,pilling,"how to get rid of fuzz on leggings",50,Low,0,,,0%
1-damage-care,pilling,"how to get rid of fuzz on pants",50,Low,29,,,0%
1-damage-care,pilling,"how to get rid of fuzz on shirts",50,Unknown,,,,-100%
1-damage-care,pilling,"how to get rid of fuzz on sweatpants",50,High,71,,,0%
1-damage-care,pilling,"how to get rid of fuzz on sweatshirts",50,Unknown,,,,-100%
1-damage-care,pilling,"how to get rid of fuzz on wool sweater",50,High,100,,,0%
1-damage-care,pilling,"how to get rid of fuzzies on a sweater",50,High,100,,,0%
1-damage-care,pilling,"how to get rid of fuzzies on hoodies",50,Low,14,,,new
1-damage-care,pilling,"how to get rid of fuzzies on leggings",50,Unknown,,,,-100%
1-damage-care,pilling,"how to get rid of fuzzies on pants",50,High,100,,,0%
1-damage-care,pilling,"how to get rid of fuzzies on sweatpants",50,High,71,,,0%
1-damage-care,pilling,"how to get rid of fuzzies on sweatshirts",50,Unknown,,,,0%
1-damage-care,pilling,"how to get rid of legging pilling",50,Low,16,,,0%
1-damage-care,pilling,"how to get rid of lint balls on blankets",50,Low,0,,,0%
1-damage-care,pilling,"how to get rid of lint balls on hoodie",50,Unknown,,,,-100%
1-damage-care,pilling,"how to get rid of lint balls on leggings",50,High,100,,,0%
1-damage-care,pilling,"how to get rid of lint balls on pants",50,Medium,34,,,0%
1-damage-care,pilling,"how to get rid of lint balls on sheets",50,Medium,33,,,0%
1-damage-care,pilling,"how to get rid of lint balls on sweater",50,High,100,,,0%
1-damage-care,pilling,"how to get rid of lint balls on sweatpants",50,Low,19,,,0%
1-damage-care,pilling,"how to get rid of lint from sweaters",50,Unknown,,,,0%
1-damage-care,pilling,"how to get rid of lint on a sweater",50,Medium,36,,,0%
1-damage-care,pilling,"how to get rid of lint on lululemon pants",0,Unknown,,,,0%
1-damage-care,pilling,"how to get rid of lint on new sweater",50,Medium,36,,,0%
1-damage-care,pilling,"how to get rid of lint on sweater",500,High,77,0.03,1.36,-90%
1-damage-care,pilling,"how to get rid of lint pills",50,High,86,,,0%
1-damage-care,pilling,"how to get rid of little balls on sweater",50,Unknown,,,,-100%
1-damage-care,pilling,"how to get rid of little fabric balls on clothes",50,High,100,0.10,1.49,0%
1-damage-care,pilling,"how to get rid of little lint balls on clothes",50,High,96,,,0%
9-unclassified,other,"how to get rid of nubbies on sweaters",50,Unknown,,,,-100%
9-unclassified,other,"how to get rid of nubs on sweaters",50,Unknown,,,,0%
9-unclassified,other,"how to get rid of piles on sweaters",50,Medium,64,,,new
1-damage-care,pilling,"how to get rid of pilled clothing",50,Unknown,,,,0%
1-damage-care,pilling,"how to get rid of pilling on a shirt",50,Medium,63,0.05,1.36,0%
1-damage-care,pilling,"how to get rid of pilling on align leggings",50,Unknown,,,,0%
1-damage-care,pilling,"how to get rid of pilling on cashmere sweaters",50,High,100,,,0%
1-damage-care,pilling,"how to get rid of pilling on coat",50,Low,0,,,new
1-damage-care,pilling,"how to get rid of pilling on dress",50,High,69,,,0%
1-damage-care,pilling,"how to get rid of pilling on fabric",50,High,77,0.24,0.92,0%
1-damage-care,pilling,"how to get rid of pilling on fabric couch",50,Medium,57,,,0%
1-damage-care,pilling,"how to get rid of pilling on fleece",50,Low,0,,,0%
1-damage-care,pilling,"how to get rid of pilling on hoodie",50,Medium,60,0.14,1.73,0%
1-damage-care,pilling,"how to get rid of pilling on jackets",50,Low,14,,,0%
1-damage-care,pilling,"how to get rid of pilling on knitwear",50,Low,7,,,0%
1-damage-care,pilling,"how to get rid of pilling on lulu leggings",50,Low,5,,,0%
1-damage-care,pilling,"how to get rid of pilling on lululemon pants",50,Unknown,,,,-100%
1-damage-care,pilling,"how to get rid of pilling on pants",50,Low,29,0.22,1.44,0%
1-damage-care,pilling,"how to get rid of pilling on shirt",50,Medium,63,0.05,1.36,0%
